duration;genre;num_critic_reviews;num_user_reviews;rating;stars;summary;title;url;votes;year
TV Series;Action,Adventure,Drama;361;5.6K;9.2;Emilia Clarke,Peter Dinklage,Kit Harington,Lena Headey,Sophie Turner,Maisie Williams,Nikolaj Coster-Waldau,Iain Glen,John Bradley,Alfie Allen,Conleth Hill,Liam Cunningham,Gwendoline Christie,Aidan Gillen,Isaac Hempstead Wright,Rory McCann,Nathalie Emmanuel,Jerome Flynn;Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.;Game of Thrones;;2.1M;2011–2019
2h 23m;Action,Sci-Fi;760;2.1K;8.0;Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner,Mark Ruffalo,Chris Hemsworth,Tom Hiddleston,Clark Gregg,Cobie Smulders,Stellan Skarsgård,Samuel L. Jackson,Gwyneth Paltrow,Paul Bettany,Alexis Denisof,Tina Benko,Jerzy Skolimowski,Kirill Nikiforov,Jeff Wolfe;Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.;The Avengers;;1.4M;2012
2h 29m;Action,Adventure,Sci-Fi;520;4.5K;8.4;Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Scarlett Johansson,Don Cheadle,Benedict Cumberbatch,Tom Holland,Chadwick Boseman,Zoe Saldana,Karen Gillan,Tom Hiddleston,Paul Bettany,Elizabeth Olsen,Anthony Mackie,Sebastian Stan,Idris Elba,Danai Gurira;The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.;Avengers: Infinity War;;1.1M;2018
1h 48m;Action,Comedy;667;1.6K;8.0;Ryan Reynolds,Morena Baccarin,T.J. Miller,Ed Skrein,Karan Soni,Michael Benyaer,Stefan Kapicic,Brianna Hildebrand,Style Dayne,Kyle Cassie,Taylor Hickson,Ayzee,Naika Toussaint,Randal Reeder,Isaac C. Singleton Jr.,Justyn Shippelt,Donna Yamamoto,Jed Rees;A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.;Deadpool;;1.1M;2016
2h 44m;Action,Drama,Thriller;568;3.7K;8.4;Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman,Joseph Gordon-Levitt,Marion Cotillard,Morgan Freeman,Michael Caine,Matthew Modine,Alon Aboutboul,Ben Mendelsohn,Burn Gorman,Daniel Sunjata,Aidan Gillen,Sam Kennard,Aliash Tepina,Nestor Carbonell,Brett Cullen;Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terro...;The Dark Knight Rises;;1.7M;2012
2h 18m;Mystery,Thriller;526;1.5K;8.2;Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo,Ben Kingsley,Max von Sydow,Michelle Williams,Patricia Clarkson,Jackie Earle Haley,Ted Levine,John Carroll Lynch,Elias Koteas,Robin Bartlett,Christopher Denham,Nellie Sciutto,Joseph Sikora,Curtiss Cook,Raymond Anthony Thomas,Joseph McKenna;In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.;Shutter Island;;1.3M;2010
2h 1m;Action,Adventure,Comedy;729;1.5K;8.0;Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana,Dave Bautista,Lee Pace,Michael Rooker,Karen Gillan,Djimon Hounsou,John C. Reilly,Glenn Close,Benicio Del Toro,Laura Haddock,Sean Gunn,Peter Serafinowicz,Christopher Fairbank,Krystian Godlewski,Wyatt Oleff;A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.;Guardians of the Galaxy;;1.2M;2014
2h 29m;Drama,Mystery,Thriller;636;1.7K;8.1;Ben Affleck,Rosamund Pike,Neil Patrick Harris,Tyler Perry,Carrie Coon,Kim Dickens,Patrick Fugit,David Clennon,Lisa Banes,Missi Pyle,Emily Ratajkowski,Casey Wilson,Lola Kirke,Boyd Holbrook,Sela Ward,Lee Norris,Jamie McShane,Leonard Kelly-Young;With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.;Gone Girl;;1M;2014
2h 45m;Drama,Western;661;1.8K;8.4;Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington,Samuel L. Jackson,Walton Goggins,Dennis Christopher,James Remar,David Steen,Dana Gourrier,Nichole Galicia,Laura Cayouette,Ato Essandoh,Sammi Rotibi,Clay Donahue Fontenot,Escalante Lundy,Miriam F. Glover,Don Johnson;With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.;Django Unchained;;1.6M;2012
2h;Action,Adventure,Sci-Fi;842;2.2K;8.1;Tom Hardy,Charlize Theron,Nicholas Hoult,Zoë Kravitz,Hugh Keays-Byrne,Josh Helman,Nathan Jones,Rosie Huntington-Whiteley,Riley Keough,Abbey Lee,Courtney Eaton,John Howard,Richard Carter,Iota,Angus Sampson,Jennifer Hagan,Megan Gale,Melissa Jaffer;In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named M...;Mad Max: Fury Road;;1M;2015
